模型代号,模型名称,重复轮次,折号,训练孕妇数,测试孕妇数,训练事件数,测试事件数,均方根误差_RMSE,平均绝对误差_MAE,折内决定系数_R2,收敛标志,优化器,警告或异常
空模型_随机截距,空模型（随机截距）,4,2,133,34,490,123,0.0294457789994,0.0228989525449,-0.00628572806389,1,lbfgs,Random effects covariance is singular
空模型_随机截距,空模型（随机截距）,4,3,135,32,491,122,0.0385411516611,0.0256990895382,-0.0206111506851,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,4,4,134,33,491,122,0.0429772400436,0.0323813767425,-0.309109342914,1,powell,lbfgs:LinAlgError:Singular matrix
空模型_随机截距,空模型（随机截距）,4,5,133,34,490,123,0.0302437291594,0.0240555764412,-0.00761264363452,1,powell,lbfgs:LinAlgError:Singular matrix
核心线性_随机截距,核心线性模型（随机截距）,4,1,133,34,490,123,0.0374895860875,0.026873062782,0.0772563130939,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,4,2,133,34,490,123,0.0248522344446,0.0194140769369,0.283186624452,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,4,3,135,32,491,122,0.0368869927481,0.0237420189271,0.0651166311086,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,4,4,134,33,491,122,0.0403280817278,0.0305177598603,-0.152693932959,1,lbfgs,
核心线性_随机截距,核心线性模型（随机截距）,4,5,133,34,490,123,0.0265686386751,0.021022687495,0.222390543805,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,4,1,133,34,490,123,0.0372500436511,0.0266607972484,0.0890105163405,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,4,2,133,34,490,123,0.0249979582724,0.0193074701892,0.274755749871,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,4,3,135,32,491,122,0.0358735121288,0.0236585091206,0.115783268853,1,powell,lbfgs:LinAlgError:Singular matrix
调整线性_随机截距,临床调整线性模型（随机截距）,4,4,134,33,491,122,0.0396633819027,0.0295559025884,-0.115008970587,1,lbfgs,
调整线性_随机截距,临床调整线性模型（随机截距）,4,5,133,34,490,123,0.0260005935653,0.02048983019,0.255286111665,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,4,1,133,34,490,123,0.0370422248112,0.0263120628889,0.0991470233978,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,4,2,133,34,490,123,0.0247495190649,0.0194564099102,0.289099622322,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,4,3,135,32,491,122,0.0357814501493,0.023556914309,0.120315765734,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,4,4,134,33,491,122,0.0388722838263,0.0293328717355,-0.0709741596342,1,lbfgs,
孕周二次_随机截距,孕周二次模型（随机截距）,4,5,133,34,490,123,0.0252807441043,0.0201547167863,0.295951409459,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,4,1,133,34,490,123,0.0369286730752,0.0259332131498,0.104661629031,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,4,2,133,34,490,123,0.0246741116464,0.0193512980506,0.293424999016,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,4,3,135,32,491,122,0.0361614953921,0.0236755126922,0.10152976007,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,4,4,134,33,491,122,0.0387350251039,0.0291860128154,-0.0634242551901,1,lbfgs,
二次交互_随机截距,低阶曲率交互模型（随机截距）,4,5,133,34,490,123,0.0253801019308,0.0203921352702,0.290406461828,1,lbfgs,
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,4,1,133,34,490,123,0.0373044046338,0.0267147586015,0.0863496647574,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,4,2,133,34,490,123,0.025013990191,0.0192881438336,0.27382521106,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,4,3,135,32,491,122,0.0359282421874,0.0236806168818,0.113083218262,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,4,4,134,33,491,122,0.0396864323661,0.0295250635751,-0.116305327096,1,lbfgs,The MLE may be on the boundary of the parameter space.
调整线性_随机斜率,临床调整线性模型（孕周随机斜率）,4,5,133,34,490,123,0.0259951651211,0.0204190775341,0.255597044241,1,lbfgs,The MLE may be on the boundary of the parameter space.
孕周二次_随机斜率,孕周二次模型（孕周随机斜率）,4,1,133,34,490,123,0.0370836186288,0.0263802074307,0.0971325343023,1,lbfgs,The MLE may be on the boundary of the parameter space.
