自助序号,剪枝树减逻辑回归_PR曲线下面积差,剪枝树减逻辑回归_ROC曲线下面积差,剪枝树减逻辑回归_对数损失差
388,-0.3164914970729162,-0.3191891969725909,0.06908311504808151
389,-0.4046065832019627,-0.3740034350566408,0.0772706766246063
390,-0.29244488738188,-0.36469440099686584,0.04580180734289718
391,-0.29187345740737597,-0.31735577973100654,0.04242815607196243
392,-0.3375006547857968,-0.3850549773026797,0.06110235290437141
393,-0.3189541950351129,-0.34404810422924187,0.04313880247622037
394,-0.32704482407412777,-0.3181921124196754,0.06204599978251685
395,-0.280493483586495,-0.36925807718791087,0.050604400109668934
396,-0.22844409246017072,-0.30563549303328036,0.050232047975177385
397,-0.35956949979332065,-0.3040520207976317,0.04263636959533987
398,-0.265142004766398,-0.3132349589562912,0.0409237954453035
399,-0.24525720576985977,-0.3333847821747771,0.041968839772268784
400,-0.3209507637135459,-0.3100540755712415,0.058087290757220245
