目标,路线,外层留出孕妇,训练内阈值,阈值来源,正则强度倒数,训练内对数损失,剪枝复杂度,叶节点数
任一T13_T18_T21异常,L1正则多因素逻辑回归,B055,0.35397533229582223,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3033402698079129,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B055,0.2866065232477447,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B056,0.4514300859154153,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2648954574371987,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B056,0.2688477951635847,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945084,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B057,0.4538170338636057,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.2738652866199189,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B057,0.2743105950653121,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.00762986472945083,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B058,0.40610743546723765,外层训练集内5折分层分组交叉拟合概率的MCC最大点,21.54434690031882,0.29344830161740115,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B058,0.40076730116570763,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.013472381917912508,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B059,0.23506725224744285,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.29174605350548627,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B059,0.3759539236861052,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B060,0.4191198993887914,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2952704424490548,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B060,0.28362274429690165,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007783128514292255,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B061,0.48915398674190236,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2723732374139158,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B061,0.3518773946360154,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.012940558494517848,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B062,0.46996110783542844,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.2994449592446148,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B062,0.3713843774168601,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450837,3.0
任一T13_T18_T21异常,L1正则多因素逻辑回归,B063,0.26821287677579575,外层训练集内5折分层分组交叉拟合概率的MCC最大点,2.782559402207126,0.3105575579908895,,
任一T13_T18_T21异常,贝叶斯信息准则剪枝决策树,B063,0.3710786780741487,外层训练集内5折分层分组交叉拟合概率的MCC最大点,,,0.007629864729450833,3.0
