概率阈值,真阳性,假阳性,假阴性,真阴性,灵敏度,特异度,精确率,F1分数,马修斯相关系数,平衡准确率,准确率,阳性判定比例,马修斯相关系数最大参考点标志
0.08273402498949775,12.516666666666666,42.82380952380953,4.35,87.30952380952382,0.742094861660079,0.6709235948477752,0.2261756227681452,0.34668776997395057,0.2716865402199147,0.7065092282539271,0.6790897311305474,0.37646582442500803,0
0.08225132667042026,12.516666666666666,43.07380952380953,4.35,87.05952380952381,0.742094861660079,0.6690024882903982,0.22515847181771453,0.3454915878023133,0.27018277940877417,0.7055486749752387,0.6773890508584386,0.3781665046971169,0
0.08212791740036042,12.516666666666666,43.27380952380953,4.35,86.85952380952381,0.742094861660079,0.6674656030444965,0.22435131444178896,0.344540568881898,0.26898422259011334,0.7047802323522878,0.6760285066407515,0.379527048914804,0
0.08158353286479235,12.516666666666666,43.60714285714286,4.35,86.52619047619048,0.742094861660079,0.6649041276346604,0.22301883590700827,0.3429671189979122,0.2669952968851667,0.7034994946473697,0.6737609329446064,0.38179462261094904,0
0.08076724977766014,12.516666666666666,43.77380952380952,4.35,86.35952380952381,0.742094861660079,0.6636233899297425,0.22235851450807886,0.3421857710082666,0.266004846041931,0.7028591257949107,0.6726271460965338,0.3829284094590217,0
0.08056185430630619,12.516666666666666,44.02380952380952,4.35,86.10952380952381,0.742094861660079,0.6617022833723654,0.22137533162083634,0.3410204015439007,0.2645241165893986,0.7018985725162221,0.670926465824425,0.3846290897311305,0
0.08007367061043447,12.516666666666666,44.273809523809526,4.35,85.85952380952381,0.742094861660079,0.6597811768149883,0.2204008049639443,0.3398629428497543,0.2630492515366643,0.7009380192375336,0.6692257855523162,0.38632977000323937,0
0.07971141948915154,12.516666666666666,44.52380952380953,4.35,85.60952380952381,0.742094861660079,0.6578600702576113,0.21943482072045745,0.33871331464836824,0.2615801711168278,0.6999774659588451,0.6675251052802073,0.3880304502753482,0
0.07888908247431403,12.516666666666666,44.773809523809526,4.35,85.35952380952381,0.742094861660079,0.6559389637002342,0.21847726706009474,0.33757143774481474,0.26011679661090986,0.6990169126801566,0.6658244250080985,0.38973113054745706,0
0.07857079328445161,12.516666666666666,44.97380952380952,4.35,85.15952380952382,0.742094861660079,0.6544020784543326,0.21771722024351858,0.3366634646173551,0.2589501530204497,0.6982484700572058,0.6644638807904114,0.3910916747651441,0
0.07843023150715754,12.516666666666666,45.22380952380953,4.35,84.90952380952382,0.742094861660079,0.6524809718969554,0.21677456599727843,0.335535343864688,0.25749685404817746,0.6972879167785172,0.6627632005183026,0.39279235503725296,0
0.07820170069031217,12.516666666666666,45.47380952380953,4.35,84.65952380952382,0.742094861660079,0.6505598653395784,0.2158400394153391,0.33441475826972006,0.2560490459649638,0.6963273634998287,0.6610625202461937,0.3944930353093618,0
0.0778184636239442,12.516666666666666,45.72380952380952,4.35,84.40952380952382,0.742094861660079,0.6486387587822016,0.21491353583254977,0.3333016325883658,0.2546066538360864,0.6953668102211403,0.6593618399740849,0.39619371558147065,0
0.07725540314777388,12.516666666666666,45.97380952380952,4.35,84.15952380952382,0.742094861660079,0.6467176522248245,0.21399495237319874,0.33219589257503945,0.2531696036728322,0.6944062569424517,0.6576611597019761,0.3978943958535795,0
0.07701056118145382,12.516666666666666,46.14047619047619,4.35,83.99285714285715,0.742094861660079,0.6454369145199064,0.21338691345997726,0.3314627994955864,0.25221450187152744,0.6937658880899926,0.6565273728539035,0.399028182701652,0
0.07698416836059362,12.516666666666666,46.340476190476195,4.35,83.79285714285714,0.742094861660079,0.6439000292740047,0.2126618122977346,0.33058734750345864,0.2510714406232568,0.6929974454670418,0.6551668286362164,0.4003887269193391,0
