重复序号,有效标志,抽样技术误差标准差,达标事件数,一组方案贝叶斯信息准则,两组方案贝叶斯信息准则,贝叶斯信息准则两组挑战胜出标志,两组切点,两组低BMI组人数,两组高BMI组人数,固定效应_孕周标准化,固定效应_首次BMI标准化,固定效应_首次年龄标准化,固定效应_首次身高标准化,固定效应_首次生产次数,一组第1组_12周0天已达标比例,一组第1组_13周0天已达标比例,一组第1组_25周0天已达标比例,两组第1组_12周0天已达标比例,两组第1组_13周0天已达标比例,两组第1组_25周0天已达标比例,两组第2组_12周0天已达标比例,两组第2组_13周0天已达标比例,两组第2组_25周0天已达标比例,失败信息
46,1,0.003435519455871596,489,210.0343848096429,215.45985159792838,0,29.756464415,48,119,0.34370277228135443,-0.11866588721791693,-0.07813036869661054,-0.04093174959462183,0.17488946147152717,0.6257837639235666,0.6623476710401288,0.9200066240649678,0.7342714030906011,0.7676135153166711,0.955302175608396,0.574997826522172,0.6119209961340863,0.8994853800920739,
47,1,0.004589831377932283,489,210.8558250597037,214.70652253986407,0,36.43617476,151,16,0.34573248619968183,-0.11988247377670165,-0.09065648425561688,-0.04857956171299106,0.17194352550998238,0.6337560641093901,0.6693661399839141,0.9212389577054125,0.6664023027840469,0.7013614021075322,0.9329691397689547,0.35296050102657617,0.3832729597313702,0.7654533752273573,
48,1,0.004670074408248143,486,212.102022157446,217.17448414320194,0,36.43617476,151,16,0.3524253875028235,-0.11866997315551868,-0.09261403915627954,-0.04783496105833985,0.1770243157235077,0.6151801091586506,0.6515058667173605,0.9224782384136246,0.6453478186418574,0.6812905781958309,0.9334127158627055,0.35758585271986787,0.38803530781228174,0.778827463416617,
49,1,0.00423916465328844,483,214.14848951947192,219.04252936900292,0,36.43617476,151,16,0.3645914353474862,-0.11177328013246933,-0.1013894570040401,-0.039494575758912465,0.19030043917126796,0.6122783286310725,0.6479299356873329,0.9224966056933602,0.6423342446204799,0.677846501456533,0.93384781902875,0.3765174102150859,0.4056130303537212,0.787616920496772,
50,1,0.006424665245445213,466,220.47019172163053,223.51564032375114,0,36.43617476,151,16,0.3645799090534791,-0.14653738304322553,-0.08592400396290811,-0.044190287078623554,0.17854624859250465,0.577782460178533,0.6144020235384332,0.9044170793157728,0.6160961928616594,0.6524067213864467,0.9196883097585924,0.28451199307965847,0.31203663127943954,0.7152128745976766,
51,1,0.004354703034238968,477,216.23939735332405,221.02665408127257,0,36.43617476,151,16,0.34378016997948124,-0.12840172629478805,-0.08423681894473972,-0.03876568287009329,0.18462545626107715,0.6090776635921624,0.6449876948434896,0.9119511565782573,0.6399918544377963,0.6754745348976531,0.9238142291740614,0.3380326099207008,0.3679051609626333,0.7543143260601037,
52,1,0.003949258591842025,486,210.22271731611576,216.35602857987743,0,36.999319045,153,14,0.3541560768616765,-0.1140070130509192,-0.08424721234580225,-0.04032581404864946,0.18026905487329226,0.6245527394851805,0.6604184437293338,0.9242786132165691,0.6517055318103255,0.6869973034230124,0.9338698422507956,0.36558739550630254,0.3978901384366863,0.7852908317229405,
53,1,0.004582779984386002,485,210.2999727469526,216.57567780690664,0,36.43617476,151,16,0.3470416723663994,-0.11537155267172124,-0.08207193534151523,-0.03981946223948812,0.18111333105412158,0.6312206813533653,0.6665098253643258,0.9130774978356464,0.6600413655985663,0.6946083740182812,0.9237525733437164,0.3660470141673305,0.39856182997229755,0.7712697337147658,
54,1,0.005554968955058064,489,207.62388036702902,211.4778378426464,0,36.43617476,151,16,0.3583781710312422,-0.133545778928222,-0.0841204852976822,-0.03739083350590603,0.18279562510685782,0.6369710555882617,0.6710735691547859,0.9261596207970678,0.6734981834903945,0.7065651003835972,0.9388248095714586,0.324833274873531,0.35502581203372063,0.7461263889657156,
55,1,0.00554907598262839,479,214.6768882131561,219.49387502759282,0,36.43617476,151,16,0.35098432162516713,-0.1574229393820176,-0.09864361257152918,-0.02572333930800633,0.20119004745642913,0.6244237717065462,0.6552488739655691,0.9193944288778206,0.6564325917955337,0.686252876412814,0.9316323894379577,0.38294972086227796,0.4145921838218602,0.7821230680231577,
