孕周数,孕妇平均BMI,BMI个体内偏差,年龄,生产次数,典型孕妇预测Y浓度,固定效应95%区间下限,固定效应95%区间上限
15.5,40.0,0.0,29.0,0,0.0375854213506707,0.03197699170449542,0.04386664931350505
15.75,40.0,0.0,29.0,0,0.03778351799916348,0.032114291396384775,0.04406992910532062
16.0,40.0,0.0,29.0,0,0.03800583725704603,0.032276489175916814,0.04434049477035634
16.25,40.0,0.0,29.0,0,0.038252777280226524,0.032444486194783316,0.04467045802479167
16.5,40.0,0.0,29.0,0,0.03852478165601192,0.03263178338134307,0.04502470151985742
16.75,40.0,0.0,29.0,0,0.0388223406065097,0.03284065520585593,0.045407302010655695
17.0,40.0,0.0,29.0,0,0.03914599231954392,0.033074739951757755,0.04581890068428274
17.25,40.0,0.0,29.0,0,0.03949632441087855,0.03333264482397976,0.046260189974666355
17.5,40.0,0.0,29.0,0,0.03987397552187109,0.03361382726548894,0.04673191526004387
17.75,40.0,0.0,29.0,0,0.0402796370570054,0.0339288878690209,0.04723487668925373
18.0,40.0,0.0,29.0,0,0.04071405506607741,0.034302157407095774,0.04776993114078927
18.25,40.0,0.0,29.0,0,0.04117803227612467,0.03470361457970781,0.048337994318735304
18.5,40.0,0.0,29.0,0,0.04167243027850046,0.035134118358673756,0.04894004298986169
18.75,40.0,0.0,29.0,0,0.042198171876794,0.03559459512677802,0.04957711736627949
19.0,40.0,0.0,29.0,0,0.042756243601583484,0.036086041667269225,0.05025032363816752
19.25,40.0,0.0,29.0,0,0.04334769839827783,0.03660952838479224,0.05096083666115025
19.5,40.0,0.0,29.0,0,0.043973658494549414,0.03716620276824303,0.05170990280294047
19.75,40.0,0.0,29.0,0,0.04463531845407922,0.03775729310660053,0.052498842953850496
20.0,40.0,0.0,29.0,0,0.045333948423520974,0.038384112469331495,0.05332905570571175
20.25,40.0,0.0,29.0,0,0.04607089757973588,0.03904806296347874,0.05420202070361976
20.5,40.0,0.0,29.0,0,0.04684759778444311,0.0397506402800137,0.055119302174728234
20.75,40.0,0.0,29.0,0,0.047665567453467665,0.0404934385424535,0.05608255263803846
21.0,40.0,0.0,29.0,0,0.048526415647730976,0.04122618553709502,0.05709351679876349
21.25,40.0,0.0,29.0,0,0.049431846393010515,0.041944879882233596,0.058207552505679404
21.5,40.0,0.0,29.0,0,0.0503836632352768,0.04270404808581357,0.05944678130762904
21.75,40.0,0.0,29.0,0,0.05138377403808188,0.04350534604743893,0.0606915483774941
22.0,40.0,0.0,29.0,0,0.052434196028004934,0.044354407831660635,0.06189541010027899
22.25,40.0,0.0,29.0,0,0.05353706109353397,0.04525635748918461,0.06315651753058933
22.5,40.0,0.0,29.0,0,0.05469462134195414,0.04620724469646804,0.06447721118588833
